Date,Price,Open,High,Low,Vol.,Change %
01-01-23,80.109999999999999,80.569999999999993,82.659999999999997,72.469999999999999,189.32K,-0.45%
12-01-22,80.469999999999999,80.560000000000002,83.329999999999998,70.109999999999999,,-0.11%
11-01-22,80.560000000000002,86.170000000000002,93.739999999999995,73.609999999999999,5.68M,-6.90%
10-01-22,86.530000000000001,81.019999999999996,93.640000000000001,80.870000000000005,5.33M,8.86%
09-01-22,79.489999999999995,88.829999999999998,90.390000000000001,76.25,5.81M,-11.23%
08-01-22,89.549999999999997,98.459999999999994,98.650000000000006,85.730000000000004,6.61M,-9.20%
07-01-22,98.620000000000005,106.01000000000001,111.45,90.560000000000002,6.16M,-6.75%
06-01-22,105.76000000000001,115.40000000000001,123.68000000000001,101.53,6.14M,-7.77%
05-01-22,114.67,104,119.98,98.200000000000003,5.32M,9.53%
04-01-22,104.69,101.23,109.81,92.930000000000007,5.39M,4.40%
03-01-22,100.28,96.090000000000003,130.5,93.530000000000001,8.83M,4.76%
02-01-22,95.719999999999999,88.150000000000006,100.54000000000001,86.549999999999997,8.21M,8.59%
01-01-22,88.150000000000006,75.689999999999998,88.840000000000003,74.269999999999996,7.52M,17.21%
12-01-21,75.209999999999994,67.010000000000005,77.439999999999998,62.43,7.40M,13.64%
11-01-21,66.180000000000007,83.359999999999999,84.969999999999999,64.430000000000007,9.44M,-20.81%
10-01-21,83.569999999999993,75.120000000000005,85.409999999999997,74.230000000000004,9.22M,11.38%
09-01-21,75.030000000000001,68.549999999999997,76.670000000000002,67.120000000000005,7.75M,9.53%
08-01-21,68.5,73.909999999999997,73.950000000000003,61.740000000000002,7.93M,-7.37%
07-01-21,73.950000000000003,73.5,76.980000000000004,65.209999999999994,8.11M,0.65%
06-01-21,73.469999999999999,66.680000000000007,74.450000000000003,66.409999999999997,7.79M,10.78%
05-01-21,66.319999999999993,63.640000000000001,67.519999999999996,61.560000000000002,7.51M,4.31%
04-01-21,63.579999999999998,59.490000000000002,65.469999999999999,57.630000000000003,7.39M,7.47%
03-01-21,59.159999999999997,61.950000000000003,67.980000000000004,57.25,9.79M,-3.80%
02-01-21,61.5,51.990000000000002,63.810000000000002,51.640000000000001,7.60M,17.82%
01-01-21,52.200000000000003,48.399999999999999,53.93,47.18,7.21M,7.58%
12-01-20,48.520000000000003,45.079999999999998,49.280000000000001,43.920000000000002,6.21M,7.01%
11-01-20,45.340000000000003,35.240000000000002,46.259999999999998,33.640000000000001,7.03M,26.68%
10-01-20,35.789999999999999,39.899999999999999,41.700000000000003,34.920000000000002,7.35M,-11.01%
09-01-20,40.219999999999999,42.829999999999998,43.43,36.130000000000003,6.75M,-5.61%
08-01-20,42.609999999999999,40.390000000000001,43.780000000000001,39.579999999999998,6.37M,5.81%
07-01-20,40.270000000000003,39.840000000000003,42.399999999999999,38.539999999999999,6.79M,2.55%
06-01-20,39.270000000000003,35.210000000000001,41.630000000000003,34.270000000000003,7.64M,10.65%
05-01-20,35.490000000000002,19.039999999999999,35.770000000000003,18.050000000000001,5.91M,88.38%
04-01-20,18.84,20.100000000000001,29.129999999999999,-40.32,14.56M,-8.01%
03-01-20,20.48,43.700000000000003,48.659999999999997,19.27,16.68M,-54.24%
02-01-20,44.759999999999998,51.009999999999998,54.5,43.850000000000001,13.33M,-13.19%
01-01-20,51.560000000000002,61.600000000000001,65.650000000000006,50.969999999999999,12.54M,-15.56%
12-01-19,61.060000000000002,55.469999999999999,62.340000000000003,55.350000000000001,9.27M,10.68%
11-01-19,55.170000000000002,54.149999999999999,58.740000000000002,54.07,9.47M,1.83%
10-01-19,54.18,54.280000000000001,56.920000000000002,50.990000000000002,11.55M,0.20%
09-01-19,54.07,55,63.380000000000003,52.840000000000003,13.08M,-1.87%
08-01-19,55.100000000000001,57.850000000000001,57.990000000000002,50.520000000000003,14.04M,-5.94%
07-01-19,58.579999999999998,59.270000000000003,60.939999999999998,54.719999999999999,11.80M,0.19%
06-01-19,58.469999999999999,53.420000000000002,59.93,50.600000000000001,12.46M,9.29%
05-01-19,53.5,63.399999999999999,63.93,53.049999999999997,16.25M,-16.29%
04-01-19,63.909999999999997,60.240000000000002,66.599999999999994,60.130000000000003,13.33M,6.27%
03-01-19,60.140000000000001,57.219999999999999,60.729999999999997,54.520000000000003,11.96M,5.10%
02-01-19,57.219999999999999,54.009999999999998,57.810000000000002,51.229999999999997,10.55M,6.38%
01-01-19,53.789999999999999,45.799999999999997,55.369999999999997,44.350000000000001,14.02M,18.45%
12-01-18,45.409999999999997,52.450000000000003,54.549999999999997,42.359999999999999,12.16M,-10.84%
11-01-18,50.93,64.879999999999995,65.390000000000001,49.409999999999997,15.12M,-22.02%
10-01-18,65.310000000000002,73.290000000000006,76.900000000000006,64.810000000000002,13.04M,-10.84%
09-01-18,73.25,69.890000000000001,73.730000000000004,66.859999999999999,10.09M,4.94%
08-01-18,69.799999999999997,68.430000000000007,70.5,64.430000000000007,10.42M,1.51%
07-01-18,68.760000000000005,73.620000000000005,75.269999999999996,67.030000000000001,10.91M,-7.27%
06-01-18,74.150000000000006,67.069999999999993,74.459999999999994,63.590000000000003,12.86M,10.61%
05-01-18,67.040000000000006,68.560000000000002,72.829999999999998,65.799999999999997,15.04M,-2.23%
04-01-18,68.569999999999993,64.909999999999997,69.560000000000002,61.810000000000002,12.71M,5.59%
03-01-18,64.939999999999998,61.549999999999997,66.549999999999997,59.950000000000003,12.38M,5.35%
